mes,tarifa_mes,km_mes,pago_mes,usd_idx,uf_idx,blend_idx
1,31.3493328,10000,313493.328,1.005,1.002,1.0044
2,31.487314809599994,10000,314873.14809599996,1.0100249999999997,1.004004,1.0088207999999999
3,31.62594919993919,10000,316259.4919993919,1.0150751249999996,1.006012008,1.0132625015999996
4,31.765239157862666,10000,317652.39157862664,1.0201505006249996,1.0080240320159999,1.0177252069031997
5,31.90518788599961,10000,319051.8788599961,1.0252512531281244,1.010040080080032,1.022209018518506
6,32.04579860284193,10000,320457.9860284193,1.0303775093937648,1.012060160240192,1.0267140395630503
7,32.18707454282328,10000,321870.7454282328,1.0355293969407335,1.0140842805606725,1.0312403736647213
8,32.329018956398485,10000,323290.18956398487,1.0407070439254371,1.0161124491217939,1.0357881249647085
9,32.47163511012328,10000,324716.3511012328,1.0459105791450642,1.0181446740200375,1.040357398120059
10,32.61492628673458,10000,326149.2628673458,1.0511401320407894,1.0201809633680776,1.044948298306247
11,32.75889578523107,10000,327588.9578523107,1.0563958327009932,1.0222213252948138,1.0495609312197574
12,32.90354692095416,10000,329035.4692095416,1.061677811864498,1.0242657679454035,1.0541954030806793
13,33.04888302566946,10000,330488.83025669464,1.0669862009238205,1.0263142994812944,1.0588518206353152
14,33.19490744764855,10000,331949.07447648555,1.0723211319284394,1.028366928080257,1.063530291158803
15,33.34162355175125,10000,333416.2355175125,1.0776827375880815,1.0304236619364175,1.0682309224577486
16,33.4890347195082,10000,334890.347195082,1.0830711512760218,1.0324845092602903,1.0729538228728757
17,33.63714434920391,10000,336371.44349203905,1.088486507032402,1.034549478278811,1.0776991012816837
18,33.78595585596031,10000,337859.5585596031,1.0939289395675638,1.0366185772353687,1.0824668671011248
19,33.935472671820506,10000,339354.7267182051,1.0993985842654015,1.0386918143898394,1.0872572302902892
20,34.085698245833164,10000,340856.9824583316,1.1048955771867284,1.0407691980186191,1.0920703013531066
21,34.23663604413719,10000,342366.3604413719,1.110420055072662,1.0428507364146564,1.096906191341061
22,34.38828955004689,10000,343882.8955004689,1.115972155348025,1.0449364378874857,1.1017650118559172
23,34.54066226413752,10000,345406.6226413752,1.1215520161247652,1.0470263107632607,1.1066468750524643
24,34.69375770433127,10000,346937.57704331266,1.1271597762053889,1.0491203633847872,1.1115518936412685
25,34.847579405983744,10000,348475.7940598374,1.1327955750864156,1.0512186041115568,1.1164801808914437
26,35.00213092197074,10000,350021.3092197074,1.1384595529618475,1.0533210413197798,1.121431850633434
27,35.15741582277559,10000,351574.1582277559,1.1441518507266566,1.0554276834024194,1.1264070172618093
28,35.31343769657685,10000,353134.37696576846,1.1498726099802898,1.0575385387692242,1.1314057957380768
29,35.47020014933649,10000,354702.0014933649,1.155621973030191,1.0596536158467627,1.1364283015935055
30,35.62770680488849,10000,356277.0680488849,1.161400082895342,1.0617729230784563,1.1414746509319649
31,35.785961305027854,10000,357859.61305027857,1.1672070833098185,1.063896468924613,1.1465449604327775
32,35.94496730960014,10000,359449.6730960014,1.1730431187263675,1.0660242618624622,1.1516393473535864
33,36.104728496591385,10000,361047.28496591386,1.178908334319999,1.068156310386187,1.1567579295332366
34,36.265248562218474,10000,362652.48562218476,1.184802875991599,1.0702926230069594,1.1619008253946712
35,36.42653122101999,10000,364265.31221019995,1.1907268903715569,1.0724332082529733,1.1670681539478402
36,36.58858020594749,10000,365885.80205947487,1.1966805248234145,1.0745780746694793,1.1722600347926275
